Year_Month,USAGE_GB,Billing_Account_Id,Churn_Flag,Churn_Sub_Category
202502,578,100007832698,CORE CHURN,CMP
202505,79,100006053291,CORE CHURN,OCR
202501,599,100008232690,EARLY CHURN,CMP
202502,19,100006036260,EARLY CHURN,CMP
202412,660,100007825090,CORE CHURN,CMP
202502,7,100008425324,EARLY CHURN,CMP
202505,23,100008699321,EARLY CHURN,OCR
202503,37,100008132625,CORE CHURN,CMP
202504,29,100008465163,EARLY CHURN,CMP
202505,60,100007307621,CORE CHURN,CMP
202504,11,100008641464,EARLY CHURN,CMP
202503,90,100008062474,CORE CHURN,CMP
202504,30,100008853806,EARLY CHURN,OCR
202503,83,100008485338,EARLY CHURN,CMP
202504,59,100001416180,CORE CHURN,CMP
202502,449,1922573806,CORE CHURN,OCR
202501,537,100006908530,CORE CHURN,CMP
202504,36,100007770329,CORE CHURN,CMP
202501,574,100006984335,CORE CHURN,CMP
202505,0,100007790430,CORE CHURN,CMP
202504,0,L2102534928,EARLY CHURN,CMP
202505,19,100008751179,EARLY CHURN,CMP
202504,84,100008524565,EARLY CHURN,CMP
202505,76,2100496949,CORE CHURN,OCR
202504,98,100005409271,CORE CHURN,OCR
202504,0,100008638596,EARLY CHURN,CMP
202504,42,1214942094,EARLY CHURN,OCR
202504,1,100008885427,EARLY CHURN,OCR
202412,468,100007615342,CORE CHURN,CMP
202412,0,100008500577,EARLY CHURN,OCR
202503,72,100007079033,CORE CHURN,OCR
202505,93,L2101985563,CORE CHURN,CMP
202505,81,100007504141,CORE CHURN,OCR
202504,99,100007919924,CORE CHURN,CMP
202504,86,100006257946,CORE CHURN,CMP
202505,71,1425418710,CORE CHURN,OCR
202501,1,100006148126,EARLY CHURN,OCR
202505,70,100008598856,EARLY CHURN,CMP
202504,62,100008497948,EARLY CHURN,CMP
202505,20,100006393859,CORE CHURN,CMP
202505,0,100008909558,EARLY CHURN,OCR
202504,40,100007047881,CORE CHURN,CMP
202503,58,100007501951,CORE CHURN,CMP
202505,95,100000583371,CORE CHURN,OCR
202504,79,100007801824,CORE CHURN,CMP
202501,47,100007062081,CORE CHURN,CMP
202503,44,100008232670,CORE CHURN,CMP
202501,14,100007744139,CORE CHURN,CMP
202504,46,100008511326,EARLY CHURN,OCR
202505,29,100008768836,EARLY CHURN,CMP
202503,77,100008512369,EARLY CHURN,OCR
202504,1,100005045552,CORE CHURN,OCR
202504,55,100008640417,EARLY CHURN,OCR
202503,54,100008504445,EARLY CHURN,CMP
202505,7,100008767094,EARLY CHURN,CMP
202503,87,100008087458,CORE CHURN,OCR
202505,41,100008660435,EARLY CHURN,CMP
202412,615,100005422195,EARLY CHURN,CMP
202504,67,100006120888,CORE CHURN,CMP
202505,58,2106190639,CORE CHURN,CMP
202503,90,100003850033,CORE CHURN,OCR
202505,73,100003650996,CORE CHURN,CMP
202501,685,100005217379,CORE CHURN,CMP
202504,0,100008682163,EARLY CHURN,CMP
202501,678,100004028517,CORE CHURN,OCR
202505,81,100006418220,CORE CHURN,CMP
202502,494,100007040951,CORE CHURN,CMP
202504,17,100008594039,EARLY CHURN,OCR
202505,70,100007276645,CORE CHURN,OCR
202503,43,100007730807,CORE CHURN,CMP
202501,507,100006967720,CORE CHURN,OCR
202503,55,100004867560,CORE CHURN,CMP
202501,424,100006311779,CORE CHURN,OCR
202505,1,100005225345,EARLY CHURN,CMP
202505,64,100007723265,CORE CHURN,CMP
202502,529,100005296356,CORE CHURN,CMP
202503,1,100000973340,EARLY CHURN,CMP
202504,27,100008689897,EARLY CHURN,CMP
202503,60,100008753869,EARLY CHURN,OCR
202503,31,1685875163,CORE CHURN,OCR
202504,2,2104034333,EARLY CHURN,CMP
202505,49,100008646849,EARLY CHURN,CMP
202504,0,100004672394,EARLY CHURN,CMP
202505,0,100008781311,EARLY CHURN,CMP
202501,7,100006727362,CORE CHURN,CMP
202501,28,100007708934,CORE CHURN,OCR
202504,41,100008653314,EARLY CHURN,CMP
202503,63,100005436883,CORE CHURN,OCR
202502,418,100004096684,CORE CHURN,CMP
202504,11,100008515727,EARLY CHURN,CMP
202504,1,100008663982,EARLY CHURN,CMP
202504,89,100007974899,CORE CHURN,CMP
202501,40,100004324344,CORE CHURN,OCR
202505,0,2107138053,EARLY CHURN,OCR
202504,57,100008536771,EARLY CHURN,CMP
202504,80,100008610133,EARLY CHURN,CMP
202504,13,100004696300,EARLY CHURN,OCR
202504,2,100007367089,CORE CHURN,CMP
202505,1,L1556332007,EARLY CHURN,CMP
202505,59,100005735962,CORE CHURN,OCR
202505,0,100008775871,EARLY CHURN,CMP
202502,0,100007323040,CORE CHURN,OCR
202504,57,100003784392,CORE CHURN,OCR
202503,78,100008412637,EARLY CHURN,CMP
202504,17,2107488532,CORE CHURN,OCR
202502,11,2100847819,CORE CHURN,OCR
202412,42,100002743034,CORE CHURN,CMP
202501,581,100004363631,CORE CHURN,CMP
202505,86,100004164356,CORE CHURN,CMP
202504,43,100006970976,EARLY CHURN,CMP
202504,65,100008617274,EARLY CHURN,CMP
202504,7,100007857316,CORE CHURN,CMP
202503,26,100006756736,EARLY CHURN,CMP
202504,66,100008746128,EARLY CHURN,OCR
202502,514,100004512325,CORE CHURN,CMP
202505,65,100007606080,CORE CHURN,CMP
202502,405,100007938800,CORE CHURN,CMP
202503,60,100008355718,EARLY CHURN,CMP
202412,460,100004783890,CORE CHURN,CMP
202501,14,2107556532,CORE CHURN,CMP
202503,0,2106810305,CORE CHURN,OCR
202504,4,100008310291,CORE CHURN,CMP
202503,47,100008646345,EARLY CHURN,OCR
202501,4,100008262718,EARLY CHURN,CMP
202504,42,100008915810,EARLY CHURN,OCR
202504,0,100008607285,EARLY CHURN,CMP
202412,442,100002578850,CORE CHURN,CMP
202504,88,100006459185,CORE CHURN,CMP
202504,15,100008737955,EARLY CHURN,OCR
202505,50,100008728566,EARLY CHURN,CMP
202503,87,100008478800,EARLY CHURN,CMP
202504,1,100008587164,EARLY CHURN,OCR
202504,13,1523242537,EARLY CHURN,CMP
202502,583,100008354151,EARLY CHURN,OCR
202505,68,100002822552,CORE CHURN,OCR
202504,54,100008467757,EARLY CHURN,CMP
202504,1,100008657813,EARLY CHURN,CMP
202504,99,100008498411,EARLY CHURN,CMP
202504,76,100008631950,EARLY CHURN,CMP
202502,12,100005284362,CORE CHURN,OCR
202505,6,1212735783,EARLY CHURN,OCR
202503,4,100008496686,EARLY CHURN,CMP
202505,0,L1533537380,EARLY CHURN,CMP
202505,86,100008685909,EARLY CHURN,CMP
202412,551,100006758763,CORE CHURN,CMP
202502,408,100007831711,CORE CHURN,CMP
202505,63,100003992384,EARLY CHURN,CMP
202505,86,100008453946,CORE CHURN,CMP
202505,31,100008785305,EARLY CHURN,CMP
202505,72,100008605847,EARLY CHURN,CMP
202504,0,100008593193,EARLY CHURN,CMP
202502,474,100008276135,EARLY CHURN,CMP
202505,78,100008040821,CORE CHURN,CMP
202412,1,100007963000,EARLY CHURN,OCR
202503,96,100005439292,CORE CHURN,CMP
202412,441,100003731905,CORE CHURN,OCR
202502,644,100008101099,CORE CHURN,CMP
202505,98,100007443382,CORE CHURN,OCR
202505,91,100008366090,EARLY CHURN,CMP
202505,1,100008801495,EARLY CHURN,CMP
202504,43,100008932654,EARLY CHURN,OCR
202504,64,100003477648,CORE CHURN,OCR
202412,491,100007903274,CORE CHURN,CMP
202504,0,100008654342,EARLY CHURN,CMP
202412,43,100007486285,CORE CHURN,CMP
202505,0,100008772886,EARLY CHURN,CMP
202502,544,100007507651,CORE CHURN,CMP
202502,428,100004016856,CORE CHURN,OCR
202501,654,100005947753,CORE CHURN,OCR
202503,67,100007452364,CORE CHURN,CMP
202502,667,100007583645,CORE CHURN,CMP
202504,0,100008710872,EARLY CHURN,CMP
202505,54,1622876244,CORE CHURN,OCR
202505,3,100008806232,EARLY CHURN,CMP
202505,48,100008648136,EARLY CHURN,CMP
202503,72,100008348530,EARLY CHURN,CMP
202504,69,1216941711,CORE CHURN,CMP
202503,37,100008887779,EARLY CHURN,OCR
202501,409,100005911718,CORE CHURN,CMP
202412,0,100007534516,CORE CHURN,CMP
202504,89,100000900533,CORE CHURN,OCR
202504,37,100008046228,CORE CHURN,CMP
202412,458,100005728983,CORE CHURN,CMP
202503,73,100008376324,EARLY CHURN,CMP
202502,24,100008307030,EARLY CHURN,CMP
202503,0,100002984728,CORE CHURN,CMP
202412,618,100006098133,CORE CHURN,CMP
202504,63,100008403341,EARLY CHURN,CMP
202412,4,100007496725,CORE CHURN,CMP
202501,457,100007555649,CORE CHURN,CMP
202412,619,100007659144,CORE CHURN,CMP
202504,56,100008579431,EARLY CHURN,CMP
202503,33,100008025771,CORE CHURN,CMP
202503,96,100008339539,EARLY CHURN,CMP
202505,95,100007793845,CORE CHURN,OCR
202412,0,100004575936,CORE CHURN,OCR
202503,98,100006585884,EARLY CHURN,OCR
202505,13,100008827038,EARLY CHURN,CMP
202504,59,100008541754,EARLY CHURN,CMP
202503,0,100008522349,EARLY CHURN,CMP
202504,2,1523259993,EARLY CHURN,OCR
202505,22,100009059130,EARLY CHURN,OCR
202503,94,100008434937,EARLY CHURN,CMP
202412,46,100006775884,CORE CHURN,CMP
202502,6,100007402922,CORE CHURN,OCR
202501,428,100008001815,CORE CHURN,CMP
202501,473,2100879761,CORE CHURN,OCR
202505,20,100008721039,EARLY CHURN,CMP
202504,0,2107205800,EARLY CHURN,OCR
202503,89,100008319804,EARLY CHURN,CMP
202412,549,100006242057,CORE CHURN,OCR
202501,448,100005504077,CORE CHURN,CMP
202505,54,100008336727,CORE CHURN,CMP
202503,13,100008309280,EARLY CHURN,OCR
202412,665,100006444539,CORE CHURN,CMP
202501,10,100007038289,CORE CHURN,OCR
202502,450,100004054610,CORE CHURN,CMP
202505,74,100008681105,EARLY CHURN,CMP
202501,48,100007366944,CORE CHURN,CMP
202503,54,100008729852,EARLY CHURN,OCR
202504,60,L1514425591,CORE CHURN,OCR
202503,73,100007086227,CORE CHURN,CMP
202503,3,100008517893,EARLY CHURN,CMP
202503,45,100008447020,EARLY CHURN,CMP
202501,450,100004399101,CORE CHURN,CMP
202505,99,100008540797,EARLY CHURN,CMP
202505,94,1946816119,CORE CHURN,OCR
202504,23,100007732185,CORE CHURN,CMP
202504,34,100007970171,CORE CHURN,CMP
202505,66,100008585616,EARLY CHURN,CMP
202503,48,100008524783,EARLY CHURN,CMP
202505,99,100008709633,EARLY CHURN,OCR
202504,34,100004764543,CORE CHURN,CMP
202501,22,100007123014,CORE CHURN,OCR
202503,0,100007581452,CORE CHURN,OCR
202501,589,100008252854,EARLY CHURN,CMP
202505,0,2102332460,EARLY CHURN,OCR
202502,49,100004672561,CORE CHURN,OCR
202504,74,100008476808,EARLY CHURN,CMP
202501,531,100008060315,EARLY CHURN,CMP
202503,1,100007826591,CORE CHURN,CMP
202505,13,100008684344,EARLY CHURN,CMP
202501,0,100003991840,CORE CHURN,OCR
202504,50,100008609394,EARLY CHURN,CMP
202505,37,100008318574,CORE CHURN,CMP
202501,9,2101254615,CORE CHURN,OCR
202504,50,1946811110,CORE CHURN,CMP
202501,610,100005999810,CORE CHURN,OCR
202412,557,1427562631,CORE CHURN,OCR
202503,89,100003816595,CORE CHURN,CMP
202504,76,100008103554,CORE CHURN,CMP
202503,20,100007381236,CORE CHURN,OCR
202504,0,1426309282,EARLY CHURN,OCR
202503,0,100008458141,EARLY CHURN,OCR
202504,82,100005627526,CORE CHURN,CMP
202502,2,1222781161,EARLY CHURN,CMP
202504,12,100008622014,EARLY CHURN,CMP
202504,92,100004222357,CORE CHURN,OCR
202503,70,100008354168,EARLY CHURN,CMP
202503,74,100008445997,EARLY CHURN,CMP
202502,455,100007954138,CORE CHURN,CMP
202505,0,100000785553,CORE CHURN,CMP
202505,95,100008518576,EARLY CHURN,CMP
202504,73,100006752177,CORE CHURN,CMP
202505,61,100006170067,CORE CHURN,CMP
202504,20,100008748232,EARLY CHURN,OCR
202504,98,100008730805,EARLY CHURN,OCR
202501,33,100001554786,CORE CHURN,CMP
202503,63,100003895857,CORE CHURN,CMP
202505,52,100008211526,CORE CHURN,CMP
202505,70,100005363434,CORE CHURN,CMP
202503,61,100006849092,CORE CHURN,CMP
202501,20,1216902598,CORE CHURN,OCR
202412,533,100006733186,CORE CHURN,CMP
202503,16,100008288811,EARLY CHURN,CMP
202505,25,100007886174,EARLY CHURN,CMP
202412,2,100005865920,CORE CHURN,CMP
202505,15,100008719435,EARLY CHURN,CMP
202505,65,100004485157,CORE CHURN,CMP
202504,25,100006277589,CORE CHURN,CMP
202501,636,100003184343,CORE CHURN,OCR
202502,28,1608363096,CORE CHURN,OCR
202502,626,100004170781,CORE CHURN,OCR
202501,476,100006799435,CORE CHURN,CMP
202504,71,100007376934,CORE CHURN,OCR
202503,99,100003815727,EARLY CHURN,OCR
202504,3,100008468146,EARLY CHURN,OCR
202503,91,100004779381,CORE CHURN,OCR
202412,560,100006016815,CORE CHURN,CMP
202504,88,100006819699,CORE CHURN,CMP
202502,33,2103171528,CORE CHURN,OCR
202505,95,100008675399,EARLY CHURN,OCR
202504,33,100005706301,CORE CHURN,CMP
202503,60,100006697882,CORE CHURN,OCR
202504,72,100007378561,CORE CHURN,OCR
202505,0,100006002154,CORE CHURN,OCR
202503,1,1216619853,EARLY CHURN,CMP
202504,21,100008566011,EARLY CHURN,CMP
202412,517,1418783469,CORE CHURN,CMP
202501,454,100006854740,CORE CHURN,CMP
202503,35,L1212438281,CORE CHURN,OCR
202504,4,100005950638,EARLY CHURN,CMP
202504,0,100008661623,EARLY CHURN,CMP
202504,13,100008665855,EARLY CHURN,CMP
202503,82,100004698140,CORE CHURN,CMP
202504,80,100007121401,CORE CHURN,OCR
202503,9,100008413903,EARLY CHURN,OCR
202505,1,1945822010,CORE CHURN,CMP
202504,23,100006541963,CORE CHURN,CMP
202505,3,100008878476,EARLY CHURN,OCR
202502,680,100007325628,CORE CHURN,CMP
202504,76,100008559394,EARLY CHURN,CMP
202504,1,2100417521,CORE CHURN,OCR
202504,79,100005498867,EARLY CHURN,CMP
202505,92,100007789281,CORE CHURN,OCR
202503,2,100008922294,EARLY CHURN,OCR
202503,78,100006398161,CORE CHURN,CMP
202505,19,100001396561,CORE CHURN,OCR
202504,58,1723651449,EARLY CHURN,OCR
202503,39,100008508602,EARLY CHURN,CMP
202503,87,100008212905,CORE CHURN,CMP
202501,498,100008304568,EARLY CHURN,OCR
202501,494,2104866989,CORE CHURN,OCR
202503,9,100008060658,EARLY CHURN,CMP
202501,10,100006618951,CORE CHURN,CMP
202501,632,100008237021,EARLY CHURN,CMP
202502,556,100007979312,CORE CHURN,CMP
202505,26,100009092028,EARLY CHURN,OCR
202504,45,100008633810,EARLY CHURN,CMP
202503,2,100005759569,CORE CHURN,CMP
202505,1,100008819392,EARLY CHURN,CMP
202505,0,100005759397,CORE CHURN,OCR
202505,30,100008817310,EARLY CHURN,CMP
202505,1,100002792677,EARLY CHURN,CMP
202503,90,100008247598,CORE CHURN,CMP
202501,594,100006270164,CORE CHURN,CMP
202504,31,100007394748,CORE CHURN,CMP
202502,433,100002349256,CORE CHURN,OCR
202503,79,100003451058,CORE CHURN,CMP
202412,521,L2106600229,CORE CHURN,CMP
202505,35,100009056657,EARLY CHURN,OCR
202503,0,100008532035,EARLY CHURN,CMP
202504,94,100006515089,CORE CHURN,CMP
202501,41,100005960136,CORE CHURN,OCR
202505,14,100008806650,EARLY CHURN,CMP
202505,65,100008688798,EARLY CHURN,CMP
202503,51,100002605238,CORE CHURN,OCR
202505,96,100008230339,CORE CHURN,CMP
202412,457,100008155332,EARLY CHURN,CMP
202504,42,100008429809,EARLY CHURN,CMP
202505,2,100008790420,EARLY CHURN,CMP
202505,0,L1930000136,CORE CHURN,OCR
202504,19,100008590407,EARLY CHURN,CMP
202503,88,100008321464,EARLY CHURN,CMP
202412,0,100008235133,EARLY CHURN,OCR
202505,0,100009102218,EARLY CHURN,OCR
202504,0,100008709133,EARLY CHURN,CMP
202505,84,100008128938,CORE CHURN,CMP
202503,95,100006874458,CORE CHURN,OCR
202505,61,100006278787,CORE CHURN,CMP
202502,0,100006559004,CORE CHURN,OCR
202503,0,100008544832,EARLY CHURN,CMP
202504,37,100008646027,EARLY CHURN,CMP
202505,40,100000217335,CORE CHURN,CMP
202503,57,100008388302,EARLY CHURN,OCR
202504,3,100004090373,CORE CHURN,OCR
202503,53,100008244871,CORE CHURN,CMP
202505,7,1214391065,EARLY CHURN,OCR
202502,602,1912950853,CORE CHURN,CMP
202504,52,100007876131,CORE CHURN,CMP
202504,2,100008603029,EARLY CHURN,CMP
202503,94,100007948130,CORE CHURN,CMP
202504,77,100008796496,EARLY CHURN,OCR
202502,555,100006727328,CORE CHURN,CMP
202505,56,100008241021,CORE CHURN,OCR
202503,74,2107083368,EARLY CHURN,OCR
202505,11,2106663497,CORE CHURN,CMP
202503,44,L1483795395,CORE CHURN,CMP
202503,6,100008495466,EARLY CHURN,CMP
202505,0,100008757921,EARLY CHURN,CMP
202502,50,100005494186,CORE CHURN,OCR
202412,0,2102501463,EARLY CHURN,OCR
202412,36,100007658690,CORE CHURN,CMP
202505,71,100008575712,EARLY CHURN,CMP
202504,94,100007347534,CORE CHURN,CMP
202501,428,100008500944,EARLY CHURN,OCR
202501,441,2100781279,CORE CHURN,OCR
202412,491,100007718271,CORE CHURN,CMP
202504,42,2102072408,CORE CHURN,OCR
202504,0,2103407201,CORE CHURN,OCR
202505,51,100007162034,CORE CHURN,CMP
202505,74,100007567737,CORE CHURN,CMP
202502,566,100007529745,CORE CHURN,CMP
202504,0,100008676833,EARLY CHURN,CMP
202505,8,2107205041,CORE CHURN,OCR
202505,69,100008474754,CORE CHURN,CMP
202504,54,100008458413,EARLY CHURN,CMP
202503,60,100008481154,EARLY CHURN,CMP
202504,22,100008036210,CORE CHURN,CMP
202502,5,100008798915,EARLY CHURN,OCR
202505,1,100008786114,EARLY CHURN,CMP
202503,81,100008202903,CORE CHURN,CMP
202504,8,100008422832,EARLY CHURN,CMP
202504,7,100008709783,EARLY CHURN,OCR
202504,52,100007073717,CORE CHURN,CMP
202502,8,100005303068,CORE CHURN,CMP
202502,400,100008149007,EARLY CHURN,CMP
202503,1,100008645637,EARLY CHURN,OCR
202505,66,100008634683,EARLY CHURN,CMP
202412,406,100001837575,CORE CHURN,OCR
202505,94,100008570325,EARLY CHURN,CMP
202504,31,100006795846,CORE CHURN,CMP
202504,56,100008109271,EARLY CHURN,CMP
202503,56,100008438828,EARLY CHURN,CMP
202502,576,100008107775,CORE CHURN,CMP
202504,53,100005817557,CORE CHURN,OCR
202503,48,100008274048,EARLY CHURN,CMP
202502,700,100008180301,EARLY CHURN,CMP
202412,587,100001917137,CORE CHURN,OCR
202505,0,100008761913,EARLY CHURN,CMP
202503,23,100008393145,EARLY CHURN,CMP
202505,7,100007701325,CORE CHURN,CMP
202412,5,100007327693,CORE CHURN,CMP
202504,1,100005750599,EARLY CHURN,CMP
202504,64,100005620907,CORE CHURN,CMP
202504,80,L1412697953,CORE CHURN,OCR
202412,499,100006183925,CORE CHURN,CMP
202501,0,100007035100,EARLY CHURN,CMP
202503,0,100006080726,EARLY CHURN,CMP
202504,29,2100269967,CORE CHURN,OCR
202505,54,100008551325,EARLY CHURN,CMP
202505,80,100008511276,EARLY CHURN,CMP
