order_id,customer_id,order_date,shipping_date,item_id
108,10,2022-01-05,2022-04-23,29
109,25,2022-04-23,2022-04-24,40
110,50,2022-04-24,2022-04-25,57
111,75,2022-04-25,2022-04-26,1
112,15,2022-04-26,2022-04-27,23
113,30,2022-04-27,2022-04-28,45
114,55,2022-04-28,2022-04-29,12
115,80,2022-04-29,2022-04-30,9
116,20,2022-04-30,2022-05-01,38
117,35,2022-05-01,2022-05-02,56
118,60,2022-05-02,2022-05-03,3
119,85,2022-05-03,2022-05-04,17
120,5,2022-05-04,2022-05-05,50
121,40,2022-05-05,2022-05-06,5
122,90,2022-05-07,2022-05-08,18
123,10,2022-05-08,2022-05-09,47
124,25,2022-05-09,2022-05-10,32
125,50,2022-05-10,2022-05-11,14
126,75,2022-05-11,2022-05-12,60
127,15,2022-05-12,2022-05-13,8
128,30,2022-05-13,2022-05-14,31
129,55,2022-05-14,2022-05-15,21
130,80,2022-05-15,2022-05-16,42
131,20,2022-05-16,2022-05-17,2
132,35,2022-05-17,2022-05-18,54
133,60,2022-05-18,2022-05-19,10
134,85,2022-05-19,2022-05-20,19
135,5,2022-05-20,2022-05-21,36
136,40,2022-05-21,2022-05-22,7
137,90,2022-05-23,2022-05-24,49
138,10,2022-05-24,2022-05-25,15
139,25,2022-05-25,2022-05-26,39
140,50,2022-05-26,2022-05-27,52
141,75,2022-05-27,2022-05-28,6
142,15,2022-05-28,2022-05-29,35
143,30,2022-05-29,2022-05-30,20
144,55,2022-05-30,2022-05-31,44
145,80,2022-05-31,2022-06-01,11
146,20,2022-06-01,2022-06-02,55
147,35,2022-06-02,2022-06-03,24
148,60,2022-06-03,2022-06-04,37
149,85,2022-06-04,2022-06-05,30
150,5,2022-06-05,2022-06-06,16
151,40,2022-06-06,2022-06-07,59
152,90,2022-06-08,2022-06-09,22
153,10,2022-06-09,2022-06-10,48
154,25,2022-06-10,2022-06-11,13
155,50,2022-06-11,2022-06-12,33
156,75,2022-06-12,2022-06-13,58
157,15,2022-06-13,2022-06-14,26
158,30,2022-06-14,2022-06-15,51
159,55,2022-06-15,2022-06-16,34
160,80,2022-06-16,2022-06-17,27
161,20,2022-06-17,2022-06-18,46
162,35,2022-06-18,2022-06-19,29
163,1,2022-06-19,2022-06-20,40
164,84,2022-06-20,2022-06-21,57
165,17,2022-06-21,2022-06-22,1
166,93,2022-06-22,2022-06-23,23
167,56,2022-06-23,2022-06-24,45
168,20,2022-06-24,2022-06-25,12
169,46,2022-06-25,2022-06-26,9
170,77,2022-06-26,2022-06-27,38
171,5,2022-06-27,2022-06-28,56
172,82,2022-06-28,2022-06-29,3
173,13,2022-06-29,2022-06-30,17
174,79,2022-06-30,2022-07-01,50
175,62,2022-07-01,2022-07-02,5
176,38,2022-07-02,2022-07-03,28
177,92,2022-07-03,2022-07-04,18
178,28,2022-07-04,2022-07-05,47
179,7,2022-07-05,2022-07-06,32
180,11,2022-07-06,2022-07-07,14
181,69,2022-07-08,2022-07-09,8
182,50,2022-07-09,2022-07-10,31
183,90,2022-07-10,2022-07-11,21
184,23,2022-07-11,2022-07-12,42
185,89,2022-07-13,2022-07-14,54
186,41,2022-07-14,2022-07-15,10
187,3,2022-07-15,2022-07-16,19
188,81,2022-07-16,2022-07-17,36
189,32,2022-07-17,2022-07-18,7
190,98,2022-07-18,2022-07-19,25
191,70,2022-07-19,2022-07-20,49
